index,genres,keywords,tagline,title,cast,director
2404,Drama Family Music Romance,musical transformation flower girl colonel wager,The loverliest motion picture of them all!,My Fair Lady,Audrey Hepburn Rex Harrison Stanley Holloway Wilfrid Hyde-White Gladys Cooper,George Cukor
2405,Horror Thriller Mystery,secret blackmail fisherman police high school,"If you're going to bury the truth, make sure it stays buried.",I Know What You Did Last Summer,Jennifer Love Hewitt Sarah Michelle Gellar Ryan Phillippe Freddie Prinze Jr. Bridgette Wilson,Jim Gillespie
2406,Comedy,corruption robbery kidnapping nightclub male friendship,Fake Cops. Real Trouble.,Let's Be Cops,Jake Johnson Damon Wayans Jr. Nina Dobrev Rob Riggle James D'Arcy,Luke Greenfield
2407,Comedy Drama Romance,california golf oscar award wine stag night,In search of wine. In search of women. In search of themselves.,Sideways,Paul Giamatti Thomas Haden Church Virginia Madsen Sandra Oh Marylouise Burke,Alexander Payne
2408,Comedy,germany competition prostitute alcohol beer,Prepare for the ultimate chug of war.,Beerfest,Erik Stolhanske Jay Chandrasekhar Steve Lemme Paul Soter M.C. Gainey,Jay Chandrasekhar
2409,Horror Thriller,female nudity nudity mask babysitter halloween,The Night He Came Home,Halloween,Donald Pleasence Jamie Lee Curtis P.J. Soles Nancy Kyes Nick Castle,John Carpenter
2410,Comedy Family Science Fiction,,Rover is about to take over.,Good Boy!,Molly Shannon Liam Aiken Matthew Broderick Donald Faison Cheech Marin,John Robert Hoffman
2411,Comedy,best man,Times change. Friendship doesn't.,The Best Man Holiday,Terrence Howard Harold Perrineau Morris Chestnut Sanaa Lathan Taye Diggs,Malcolm D. Lee
2412,Action Comedy Crime Thriller,neo-nazi gun sniper fbi hitman,Nobody gets away clean.,Smokin' Aces,Ryan Reynolds Ray Liotta Joseph Ruskin Alex Rocco Wayne Newton,Joe Carnahan
2413,Horror Crime,survivor violence self help guru tricycle prosthetic arm,The Traps Come Alive,Saw: The Final Chapter,Tobin Bell Costas Mandylor Betsy Russell Cary Elwes Sean Patrick Flanery,Kevin Greutert
2414,Comedy Romance,sex addiction laundromat,Easier said than done.,40 Days and 40 Nights,Josh Hartnett Shannyn Sossamon Adam Trese Emmanuelle Vaugier Barry Newman,Michael Lehmann
2415,Comedy,night life nightclub flower flower shop make a match,Score!,A Night at the Roxbury,Will Ferrell Chris Kattan Jennifer Coolidge Michael Clarke Duncan Eva Mendes,John Fortenberry
2416,Drama Fantasy Romance,based on novel love beautiful woman curse teenager,Love is never ugly.,Beastly,Alex Pettyfer Vanessa Hudgens Mary-Kate Olsen Lisa Gay Hamilton Neil Patrick Harris,Daniel Barnz
2417,Horror Thriller,ambush new mexico van family holiday axe in the head,The lucky ones die first.,The Hills Have Eyes,Aaron Stanford Kathleen Quinlan Vinessa Shaw Emilie de Ravin Dan Byrd,Alexandre Aja
2418,Comedy,loser child prodigy,50 million people used to watch him on TV. Now he washes their cars.,Dickie Roberts: Former Child Star,David Spade Mary McCormack Craig Bierko Scott Terra Jenna Boyd,Sam Weisman
2419,Drama,california small town coach championship woman director,Champions Can Come From Anywhere.,"McFarland, USA",Kevin Costner Ramiro Rodriguez Carlos Pratts Johnny Ortiz Rafael Martinez,Niki Caro
2420,Comedy,,Winning is Just the Beginning Surviving is Another Story,Lottery Ticket,Shad Moss Brandon T. Jackson Naturi Naughton Loretta Devine Teairra Mari,Erik White
2421,Drama,,A New American Story,ATL,T.I. Evan Ross Jackie Long Lauren London Albert Daniels,Christian Robinson
2422,Comedy Music Romance,competition roommate college female friendship music,Get pitch slapped.,Pitch Perfect,Anna Kendrick Skylar Astin Brittany Snow Anna Camp Rebel Wilson,Jason Moore
2423,Drama Comedy Romance,beach baseball sport bikini party,Are you game?,Summer Catch,Freddie Prinze Jr. Jessica Biel Fred Ward Matthew Lillard Brian Dennehy,Mike Tollin
2424,Drama Crime Thriller,brother brother relationship money delivery airplane greed friendship,Sometimes good people do evil things.,A Simple Plan,Bill Paxton Bridget Fonda Billy Bob Thornton Brent Briscoe Chelcie Ross,Sam Raimi
2425,Horror Thriller,suicide asylum nightmare darkness supernatural,Are you afraid of the dark? You should be.,They,Laura Regan Marc Blucas Ethan Embry Dagmara Domi\u0144czyk Jon Abrahams,Robert Harmon
2426,Comedy,health inspector food intoxication,,Larry the Cable Guy: Health Inspector,Larry the Cable Guy Iris Bahr Tony Hale David Koechner Brooke Dillman,Trent Cooper
2427,Family,,"The Good, The Bad and The Stinky.",The Adventures of Elmo in Grouchland,Kevin Clash Mandy Patinkin Vanessa Williams Sonia Manzano Roscoe Orman,Gary Halvorson
2428,Crime Drama Thriller,male nudity female nudity tattoo gambling corruption,This is War. This is Brooklyn.,Brooklyn's Finest,Richard Gere Don Cheadle Ethan Hawke Wesley Snipes Vincent D'Onofrio,Antoine Fuqua
2429,Action Drama History,siege epic beijing,A handful of men and women held out against the frenzied hordes of bloodthirsty fanatics!,55 Days at Peking,Charlton Heston Ava Gardner David Niven Burt Kwouk Flora Robson,Nicholas Ray
2430,Horror,remake demon necronomicon duringcreditsstinger,The most terrifying film you will ever experience.,Evil Dead,Jane Levy Shiloh Fernandez Lou Taylor Pucci Jessica Lucas Elizabeth Blackmore,Fede Alvarez
2431,Comedy Romance,beach greece tour bus tour guide viagra,The most fun you can have without a passport.,My Life in Ruins,Nia Vardalos Richard Dreyfuss Alexis Georgoulis Alistair McGowan Harland Williams,Donald Petrie
2432,Comedy Drama Family,usa president moderator musical music castingshow,Imagine a country where more people vote for a pop idol than they do for their next President.,American Dreamz,Hugh Grant Dennis Quaid Mandy Moore Willem Dafoe Chris Klein,Paul Weitz
2433,Action Adventure Science Fiction,saving the world dc comics mountains nuclear missile u.s. army,"Nuclear Power. In the best hands, it is dangerous. In the hands of Lex Luthor, it is pure evil. This is Superman's greatest battle. And it is for all of us.",Superman IV: The Quest for Peace,Christopher Reeve Margot Kidder Gene Hackman Jackie Cooper Marc McClure,Sidney J. Furie
2434,Drama,black people loss of sister dance stepping,,How She Move,Rutina Wesley Dwain Murphy Boyd Banks Cl\u00e9 Bennett Nina Dobrev,Ian Iqbal Rashid
2435,Action Crime Drama Thriller,ice hockey racism pedophile throat slitting shot in the stomach,Every bullet leaves a trail.,Running Scared,Paul Walker Cameron Bright Vera Farmiga Chazz Palminteri Karel Roden,Wayne Kramer
2436,Drama,sport,,Bobby Jones: Stroke of Genius,Jim Caviezel Claire Forlani Jeremy Northam Malcolm McDowell Aidan Quinn,Rowdy Herrington
2437,Adventure,,A romantic adventure for the dangerous at heart.,Shanghai Surprise,Madonna Sean Penn Paul Freeman Richard Griffiths Clyde Kusatsu,Jim Goddard
2438,Fantasy Drama Thriller Romance,magic princess love rivalry vienna austria,Nothing Is What It Seems.,The Illusionist,Edward Norton Jessica Biel Paul Giamatti Rufus Sewell Eddie Marsan,Neil Burger
2439,Adventure Thriller,africa lion elephant vegetarian leopard,No animals were harmed in the making of this movie. 70 members of the cast and crew were.,Roar,Tippi Hedren Melanie Griffith Jerry Marshall Kyalo Mativo Rick Glassey,Noel Marshall
2440,Drama Crime Thriller,journalism police drug scene murder drug lord,Why would anyone want to kill Veronica Guerin?,Veronica Guerin,Cate Blanchett Gerard McSorley Ciar\u00e1n Hinds Brenda Fricker Don Wycherley,Joel Schumacher
2441,Thriller Romance,surfer murder murderer columbia telephone conversation,Welcome to the family,Escobar: Paradise Lost,Benicio del Toro Josh Hutcherson Brady Corbet Claudia Traisac Carlos Bardem,Andrea Di Stefano
2442,Action Adventure Comedy Drama Science Fiction,suicide brother brother relationship spy prophecy middle east,Have a nice apocalypse.,Southland Tales,Dwayne Johnson Seann William Scott Sarah Michelle Gellar Mandy Moore Will Sasso,Richard Kelly
2443,Animation Family,destroy future world supremacy best friend dragon,Dragon hunting isn't a fairy tale,Dragon Hunters,Vincent Lindon Patrick Timsit Philippe Nahon Amanda Lear Marie Drion,Guillaume Ivernel
2444,Action Adventure Science Fiction,based on novel future post-apocalyptic war cockroach,,Damnation Alley,Jan-Michael Vincent George Peppard Dominique Sanda Paul Winfield Jackie Earle Haley,Jack Smight
2445,Horror Thriller,experiment supernatural paranormal haunting disappearance,Once You Believe You Die,The Apparition,Ashley Greene Sebastian Stan Tom Felton Julianna Guill Luke Pasqualino,Todd Lincoln 
2446,Comedy Drama Family,neighbor child killed by animal writing class makeup artist bee sting,"When your Dad's an undertaker, your Mom's in heaven, and your Grandma's got a screw loose...it's good to have a friend who understands you. Even if he is a boy.",My Girl,Anna Chlumsky Macaulay Culkin Dan Aykroyd Jamie Lee Curtis Richard Masur,Howard Zieff
2447,Drama Mystery Romance,photographer biography hair werewolf hypertrichosis,A love story.,Fur: An Imaginary Portrait of Diane Arbus,Nicole Kidman Robert Downey Jr. Ty Burrell Harris Yulin Jane Alexander,Steven Shainberg
2448,Crime Drama,power fraud broker wall street finances,Every dream has a price.,Wall Street,Charlie Sheen Michael Douglas Martin Sheen Daryl Hannah John C. McGinley,Oliver Stone
2449,Drama Romance,bowling based on novel servant country life jane austen,Lose your heart and come to your senses.,Sense and Sensibility,Kate Winslet Emma Thompson Hugh Grant Tom Wilkinson Alan Rickman,Ang Lee
2450,Drama Romance,england judge irland new love empowerment,Her own life is her greatest inspiration.,Becoming Jane,Anne Hathaway James McAvoy Julie Walters James Cromwell Maggie Smith,Julian Jarrold
2451,Comedy,college romance sorority student snow white,Freshman year is no fairytale,Sydney White,Amanda Bynes Sara Paxton Matt Long Jeremy Howard Danny Strong,Joe Nussbaum
2452,Drama,san francisco immigrant house intimidation iranian,Some dreams can't be shared.,House of Sand and Fog,Jennifer Connelly Ben Kingsley Ron Eldard Frances Fisher Kim Dickens,Vadim Perelman
2453,Drama,individual philosophy poetry shakespeare professor,He was their inspiration. He made their lives extraordinary.,Dead Poets Society,Robin Williams Ethan Hawke Robert Sean Leonard Gale Hansen Josh Charles,Peter Weir
2454,Comedy,gas station motel utah stupidity pill,"What the one doesn't have, the other is missing.",Dumb and Dumber,Jim Carrey Jeff Daniels Lauren Holly Teri Garr Mike Starr,Bobby Farrelly
2455,Comedy Romance Drama,new york wife husband relationship restaurant platonic love orgasm,Can two friends sleep together and still love each other in the morning?,When Harry Met Sally...,Meg Ryan Billy Crystal Carrie Fisher Bruno Kirby Steven Ford,Rob Reiner
2456,Drama,boston court malpractice alcoholic courtroom,"The doctors want to settle, the Church wants to settle, their lawyers want to settle, and even his own clients are desperate to settle. But Galvin is determined to defy them all. He will try the case.",The Verdict,Paul Newman Charlotte Rampling Jack Warden James Mason Milo O'Shea,Sidney Lumet
2457,Comedy Adventure,female nudity sex sexism sperm bank erection,The greatest college tradition of all.,Road Trip,Breckin Meyer Seann William Scott Amy Smart Paulo Costanzo DJ Qualls,Todd Phillips
2458,Comedy Drama Romance,american football small town texas cheerleader sport,It takes a hero to know what's worth winning.,Varsity Blues,James Van Der Beek Amy Smart Jon Voight Paul Walker Ron Lester,Brian Robbins
2459,Drama Comedy Romance,film producer film history movie studio hollywood dog,A Breath Of Fresh Vintage Air,The Artist,Jean Dujardin B\u00e9r\u00e9nice Bejo John Goodman James Cromwell Penelope Ann Miller,Michel Hazanavicius
2460,Horror Thriller Mystery,,Evil will do anything to live.,The Unborn,Odette Annable Gary Oldman Meagan Good Cam Gigandet Idris Elba,David S. Goyer
2461,Comedy Drama Romance,new england first love eye patch search party devastation,A tormenting and surprising story of children and adults during the stormy days of the summer of 1965.,Moonrise Kingdom,Bruce Willis Edward Norton Jared Gilman Kara Hayward Bill Murray,Wes Anderson
2462,Horror,mass murder planned murder chain saw sadism knife,What you know about fear... doesn't even come close.,The Texas Chainsaw Massacre: The Beginning,Jordana Brewster Taylor Handley Diora Baird Matt Bomer R. Lee Ermey,Jonathan Liebesman
2463,Drama,egypt jesus christ gospel christian journey,"Before he was the savior, he was a child.",The Young Messiah,Adam Greaves-Neal Sara Lazzaro Vincent Walsh Sean Bean Jonathan Bailey,Cyrus Nowrasteh
2464,Comedy Family,aftercreditsstinger duringcreditsstinger,He can get into any disguise... getting out is another story.,The Master of Disguise,Dana Carvey Brent Spiner Jennifer Esposito Harold Gould James Brolin,Perry Andelin Blake
2465,Fantasy Drama War,spain resistance servant anti hero fairy,What happens when make-believe believes it's real?,Pan's Labyrinth,Ivana Baquero Maribel Verd\u00fa Sergi L\u00f3pez Doug Jones Ariadna Gil,Guillermo del Toro
2466,Action Comedy Family,dog,The Smart One Isn't Wearing Any Pants.,See Spot Run,Michael Clarke Duncan David Arquette Leslie Bibb Joe Viterelli Steve Schirripa,John Whitesell
2467,Crime Drama Romance,single parent intolerance condom bootlegger fistfight,Just a Baby Boy.,Baby Boy,Tyrese Gibson Taraji P. Henson Omar Gooding Ving Rhames Snoop Dogg,John Singleton
2468,Thriller Drama Horror,jealousy roommate obsession campus love,"2,000 colleges. 8 million roommates. Which one will you get?",The Roommate,Minka Kelly Leighton Meester Cam Gigandet Aly Michalka Matt Lanter,Christian E. Christiansen
2469,Mystery Adventure Comedy Romance Drama,parents kids relationship loss of parents looking for  birth parents meteorite janitor,He Came. He Cleaned. He Conquered.,Joe Dirt,David Spade Brittany Daniel Dennis Miller Adam Beach Jaime Pressly,Dennie Gordon
2470,Thriller Action Crime Drama,loss of parents karate fighter revenge hong kong,Two brothers separated by the violence. Now together in a mission of revenge.,Double Impact,Jean-Claude Van Damme Geoffrey Lewis Alonna Shaw Cory Everson Philip Chan Yan-Kin,Sheldon Lettich
2471,Crime Action Comedy,village arrest police partner murder,Big cops. Small town. Moderate violence.,Hot Fuzz,Simon Pegg Nick Frost Jim Broadbent Paddy Considine Rafe Spall,Edgar Wright
2472,Comedy Drama Romance,beauty salon divorce woman director,,The Women,Cloris Leachman India Ennenga Annette Bening Eva Mendes Debra Messing,Diane English
2473,Drama Romance,barcelona spain menage a trois author,Life is the ultimate work of art,Vicky Cristina Barcelona,Scarlett Johansson Rebecca Hall Javier Bardem Pen\u00e9lope Cruz Christopher Evan Welch,Woody Allen
2474,Action Adventure Drama Romance,tv movie,A Knight in the Holy Land. A Woman in the Frozen North. A War that Kept Them Apart.,Arn: The Knight Templar,Joakim N\u00e4tterqvist Sofia Helin Stellan Skarsg\u00e5rd Michael Nyqvist Mirja Turestedt,Peter Flinth
2475,Comedy Drama Romance,soulmates new love platonic love lovers girlfriend,Warning: Sex Changes Everything,Boys and Girls,Freddie Prinze Jr. Claire Forlani Jason Biggs Amanda Detmer Alyson Hannigan,Robert Iscove
2476,Drama,poison prison loss of family loss of father foster parents,,White Oleander,Alison Lohman Michelle Pfeiffer Cole Hauser Robin Wright Amy Aquino,Peter Kosminsky
2477,Comedy Horror,bloodthirstiness high school sexual murder horror gore,She's evil... and not just high school evil.,Jennifer's Body,Megan Fox Amanda Seyfried Johnny Simmons Adam Brody J.K. Simmons,Karyn Kusama
2478,Comedy Crime Mystery,suspicion suspect investigation remake murder,"The death of Mona Dearly wasn't so much a whodunnit, as a who didn't.",Drowning Mona,Danny DeVito Bette Midler Neve Campbell Jamie Lee Curtis Casey Affleck,Nick Gomez
2479,Comedy Drama,beach taxi driver world war ii radio coney island,,Radio Days,Woody Allen Mia Farrow Jeff Daniels Larry David Todd Field,Woody Allen
2480,Drama Romance,new york father son relationship grieving romantic drama young adult,Live in the moments.,Remember Me,Robert Pattinson Emilie de Ravin Pierce Brosnan Lena Olin Chris Cooper,Allen Coulter
2481,Drama Comedy Romance,woman director,Rule #1 There are no rules.,How to Deal,Mandy Moore Trent Ford Allison Janney Alexandra Holden Dylan Baker,Clare Kilner
2482,Comedy Science Fiction,alien spoof sneeze levitation message,Man's closest encounter.,My Stepmother is an Alien,Dan Aykroyd Kim Basinger Jon Lovitz Alyson Hannigan Seth Green,Richard Benjamin
2483,Drama,gay aids homophobia jurors court,No one would take on his case... until one man was willing to take on the system.,Philadelphia,Tom Hanks Denzel Washington Jason Robards Mary Steenburgen Antonio Banderas,Jonathan Demme
2484,Thriller Science Fiction Mystery,artificial intelligence simulation computer program virtual reality dystopia,Question reality. You can go there even though it doesn't exist.,The Thirteenth Floor,Craig Bierko Armin Mueller-Stahl Gretchen Mol Vincent D'Onofrio Dennis Haysbert,Josef Rusnak
2485,Comedy Drama,comedy,"This summer, get your grill on!",The Cookout,Ja Rule Tim Meadows Jenifer Lewis Jonathan Silverman Eve,Lance Rivera
2486,Action Science Fiction Thriller,meteor disaster disaster film disaster movie,There's No Place On Earth To Hide!,Meteor,Sean Connery Natalie Wood Karl Malden Brian Keith Martin Landau,Ronald Neame
2487,Comedy Drama Music,musical,Six littles souls in search of a little harmony.,Duets,Gwyneth Paltrow Scott Speedman Maria Bello Paul Giamatti Andre Braugher,Bruce Paltrow
2488,Comedy Drama,blindness and impaired vision creative crisis film director,It's going to be a shot in the dark!,Hollywood Ending,Woody Allen George Hamilton T\u00e9a Leoni Debra Messing Mark Rydell,Woody Allen
2489,Comedy Music,parents kids relationship kiss independent film youth drug,Kiss The Rules Goodbye.,Detroit Rock City,Giuseppe Andrews James DeBello Edward Furlong Sam Huntington Lin Shaye,Adam Rifkin
2490,Adventure Action Fantasy,new york scotland swordplay sword cut-off head,There can be only one.,Highlander,Christopher Lambert Roxanne Hart Clancy Brown Sean Connery Beatie Edney,Russell Mulcahy
2491,Drama,sadness loss of father junkie luxury heroin,Hope comes with letting go.,Things We Lost in the Fire,Halle Berry Benicio del Toro David Duchovny Alison Lohman Sarah Dubrovsky,Susanne Bier
2492,Science Fiction Action Adventure,dc comics los angeles soldier military,Heroes don't come any bigger.,Steel,Shaquille O'Neal Annabeth Gish Richard Roundtree Judd Nelson Irma P. Hall,Kenneth Johnson
2493,Drama Romance,new york corruption sister sister relationship magic immigrant,,The Immigrant,Marion Cotillard Jeremy Renner Joaquin Phoenix Dagmara Domi\u0144czyk Gabriel Rush,James Gray
2494,Drama History Family Romance,,,The White Countess,Ralph Fiennes Natasha Richardson Hiroyuki Sanada Lynn Redgrave Vanessa Redgrave,James Ivory
2495,Thriller Crime Drama Mystery,amnesia art thief hypnotism heist movie duringcreditsstinger,Don't be a hero.,Trance,James McAvoy Vincent Cassel Rosario Dawson Matt Cross Danny Sapani,Danny Boyle
2496,Romance Comedy,black people hip-hop nightclub airplane chaos,Announcing the arrival of the first airline with soul.,Soul Plane,Tom Arnold Kevin Hart Method Man Snoop Dogg K. D. Aubert,Jessy Terrero
2497,Comedy,clock tower jealousy cheating provence lie,,Welcome to the Sticks,Kad Merad Dany Boon Zo\u00e9 F\u00e9lix Lorenzo Ausilia-Foret Anne Marivin,Dany Boon
2498,Drama,germany nazis nazism euthanasia,Anything that makes people happy can't be bad can it?,Good,Viggo Mortensen Jason Isaacs Mark Strong Steven Mackintosh Jodie Whittaker,Vicente Amorim
2499,Fantasy Drama,prostitute hallucination strip club afterlife surrealism,,Enter the Void,Nathaniel Brown Paz de la Huerta Cyril Roy Masato Tanno Jesse Kuhn,Gaspar No\u00e9
2500,Comedy Romance Horror,vampire love woman director,Dating Sucks,Vamps,Alicia Silverstone Krysten Ritter Sigourney Weaver Richard Lewis Wallace Shawn,Amy Heckerling
2501,Drama Family,japanese loyalty human animal relationship friendship friends,"A true story of faith, devotion and undying love.",Hachi: A Dog's Tale,Richard Gere Joan Allen Jason Alexander Cary-Hiroyuki Tagawa Sarah Roemer,Lasse Hallstr\u00f6m
2502,Crime Drama Thriller,,,Zulu,Orlando Bloom Forest Whitaker Conrad Kemp Inge Beckmann Tinarie Van Wyk-Loots,J\u00e9r\u00f4me Salle
2503,Western Drama,dancing based on novel revenge native american violence,,The Homesman,Hilary Swank Tommy Lee Jones Grace Gummer Meryl Streep Miranda Otto,Tommy Lee Jones
2504,Comedy Drama,sport basketball beautiful woman hit in crotch cross dressing,,Juwanna Mann,"Miguel A. N\u00fa\u00f1ez, Jr. Vivica A. Fox Kevin Pollak Tommy Davidson Ginuwine",Jesse Vaughan
2505,War Drama,destruction of a civilization turkey,,Ararat,Simon Abkarian Charles Aznavour Christopher Plummer Arsin\u00e9e Khanjian David Alpay,Atom Egoyan
2506,Action Adventure Drama,sport independent film,A town's future is riding with one man.,Madison,Jim Caviezel Jake Lloyd Mary McCormack Bruce Dern Paul Dooley,William Bindley
2507,Mystery Crime Drama Thriller,,The truth is just a trick of light.,Slow Burn,Ray Liotta LL Cool J Mekhi Phifer Jolene Blalock Chiwetel Ejiofor,Wayne Beach
2508,Drama Action Comedy,handcuffs hitman love letter police operation japanese mafia,For those who take their action raw.,Wasabi,Jean Reno Ryoko Hirosue Michel Muller Carole Bouquet Yoshi Oida,G\u00e9rard Krawczyk
2509,Comedy Horror Science Fiction,small town mutant meteor meat alien,Horror Has A New Face,Slither,Nathan Fillion Don Thompson Elizabeth Banks Gregg Henry Xantha Radley,James Gunn
2510,Action Comedy Crime,california showdown undercover strip club investigation,The Heat Is On!,Beverly Hills Cop,Eddie Murphy Judge Reinhold John Ashton Ronny Cox Paul Reiser,Martin Brest
2511,Comedy Family,holiday burglar home invasion mischief booby trap,A Family Comedy Without the Family.,Home Alone,Macaulay Culkin Joe Pesci Daniel Stern John Heard Catherine O'Hara,Chris Columbus
2512,Family Comedy Drama,baby roommate bachelor party windeln,They changed her diapers. She changed their lives.,Three Men and a Baby,Tom Selleck Steve Guttenberg Ted Danson Nancy Travis Margaret Colin,Leonard Nimoy
2513,Comedy Romance,infidelity love friends cross dressing reputation,What do you get when you cross a hopelessly straight starving actor with a dynamite red sequined dress? You get America's hottest new actress.,Tootsie,Dustin Hoffman Jessica Lange Teri Garr Dabney Coleman Charles Durning,Sydney Pollack
2514,Action Romance War,lovesickness loss of lover fighter pilot self-discovery pilot,Up there with the best of the best.,Top Gun,Tom Cruise Kelly McGillis Val Kilmer Anthony Edwards Tom Skerritt,Tony Scott
2515,Adventure Drama Action Romance,flying martial arts taskmaster comb tiger,"A timeless story of strength, secrets and two warriors who would never surrender.","Crouching Tiger, Hidden Dragon",Chow Yun-fat Michelle Yeoh Zhang Ziyi Chang Chen Cheng Pei-Pei,Ang Lee
2516,Drama,male nudity female nudity adultery midlife crisis coming out,Look closer.,American Beauty,Kevin Spacey Annette Bening Thora Birch Wes Bentley Mena Suvari,Sam Mendes
2517,Drama History,great britain radio monarchy radio transmission royal family,Find your voice.,The King's Speech,Colin Firth Geoffrey Rush Helena Bonham Carter Guy Pearce Timothy Spall,Tom Hooper
2518,Comedy,perfection delivery low intelligence jet engine twins separated at birth,Only their mother can tell them apart.,Twins,Arnold Schwarzenegger Danny DeVito Kelly Preston Chloe Webb David Caruso,Ivan Reitman
2519,Drama Romance,independent film,,The Yellow Handkerchief,William Hurt Maria Bello Kristen Stewart Eddie Redmayne Veronica Russell,Udayan Prasad
2520,Drama,prison africa southern usa rape black people,It's about life. It's about love. It's about us.,The Color Purple,Whoopi Goldberg Margaret Avery Danny Glover Akosua Busia Oprah Winfrey,Steven Spielberg
2521,Action Adventure Drama Thriller,helicopter beach loss of father giant wave tsunami,,Tidal Wave,Park Joong-hoon Sol Kyung-gu Uhm Jung-hwa Ha Ji-won Lee Briggs,Yoon Je-kyoon
2522,History Drama Thriller War,gay england world war ii mathematician biography,The true enigma was the man who cracked the code.,The Imitation Game,Benedict Cumberbatch Keira Knightley Matthew Goode Rory Kinnear Allen Leech,Morten Tyldum
2523,Comedy,paris role of women,,Private Benjamin,Goldie Hawn Eileen Brennan Armand Assante Robert Webber Mary Kay Place,Howard Zieff
2524,Drama Music,country music female friendship biography loretta lynn washington state,She was married at 13. She had four kids by the time she was 20. She's been hungry and poor. She's been loved and cheated on. She became a singer because it was the only thing she could do. She became a star because it was the only way she could do it.,Coal Miner's Daughter,Sissy Spacek Tommy Lee Jones Levon Helm Beverly D'Angelo William Sanderson,Michael Apted
2525,Comedy Family,based on novel coming of age young boy breaking the fourth wall middle school,"It's not a diary, it's a movie.",Diary of a Wimpy Kid,Zachary Gordon Robert Capron Rachael Harris Steve Zahn Devon Bostick,Thor Freudenthal
2526,Horror,supernatural horror,A Mother's Love is Forever,Mama,Jessica Chastain Nikolaj Coster-Waldau Megan Charpentier Isabelle N\u00e9lisse Daniel Kash,Andy Muschietti
2527,Comedy Adventure Romance,usa relatives family vacation family holiday duringcreditsstinger,Every summer Chevy Chase takes his family on a little trip. This year he went too far.,National Lampoon's Vacation,Chevy Chase Beverly D'Angelo Imogene Coca Randy Quaid Anthony Michael Hall,Harold Ramis
2528,Comedy,duringcreditsstinger,Real people. Real reactions. Real messed up.,Bad Grandpa,Johnny Knoxville Jackson Nicoll Georgina Cates Spike Jonze Catherine Keener,Jeff Tremaine
2529,Drama,upper class loss of mother great britain sadness queen,Our Leaders. Ourselves.,The Queen,Helen Mirren Michael Sheen James Cromwell Sylvia Syms Helen McCrory,Stephen Frears
2530,Fantasy Comedy,minister giant snake skeleton calypso arts,He's guaranteed to put some life in your afterlife.,Beetlejuice,Geena Davis Alec Baldwin Winona Ryder Michael Keaton Catherine O'Hara,Tim Burton
2531,Comedy Drama,,Because we complete each other's sentences.,Why Did I Get Married?,Tyler Perry Jill Scott Janet Jackson Michael Jai White Malik Yoba,Tyler Perry
2532,Drama Romance,depression mother daughter relationship pregnant desire chalkboard,"The story that has lived in our hearts for generations, now comes to the screen for the holidays.",Little Women,Winona Ryder Gabriel Byrne Trini Alvarado Samantha Mathis Kirsten Dunst,Gillian Armstrong
2533,Drama Horror Thriller,london england secret remake revenge lawyer,What did they see?,The Woman in Black,Daniel Radcliffe Ciar\u00e1n Hinds Sidney Johnston Alisa Khazanova Mary Stockley,James Watkins
2534,Horror Thriller,babysitter death of a friend killer strange person call,"Whatever You Do, Don't Answer The Phone.",When a Stranger Calls,Camilla Belle Katie Cassidy Tommy Flanagan Brian Geraghty Clark Gregg,Simon West
2535,Comedy Family,screenplay film producer auto right and justice liar,The truth is never overrated,Big Fat Liar,Frankie Muniz Paul Giamatti Amanda Bynes Amanda Detmer Donald Faison,Shawn Levy
2536,Drama War,vietnam veteran pennsylvania vietnam party escape,One of the most important and powerful films of all time!,The Deer Hunter,Robert De Niro John Cazale John Savage Christopher Walken Meryl Streep,Michael Cimino
2537,Comedy Drama,washington d.c. rape cia usa president war veteran,"A comedy about truth, justice and other special effects.",Wag the Dog,Dustin Hoffman Robert De Niro Anne Heche Woody Harrelson Jim Belushi,Barry Levinson
2538,Family Comedy,,The only risk in taking an adventure is not taking it at all.,The Lizzie McGuire Movie,Hilary Duff Adam Lamberg Hallie Todd Robert Carradine Jake Thomas,Jim Fall
2539,Thriller Drama,father son relationship based on true story,How far would you go to save your son?,Snitch,Dwayne Johnson Barry Pepper Jon Bernthal Susan Sarandon Michael Kenneth Williams,Ric Roman Waugh
2540,Horror Comedy Fantasy,fire winter santa claus snow storm christmas tree,You don't want to be on his list.,Krampus,Adam Scott Toni Collette Allison Tolman David Koechner Emjay Anthony,Michael Dougherty
2541,Horror Mystery Science Fiction,american football high school alien teacher teenager,Take me to your teacher.,The Faculty,Jordana Brewster Elijah Wood Clea DuVall Laura Harris Josh Hartnett,Robert Rodriguez
2542,Drama Music,price of fame tina turner black woman cameo appearance by real life subject african american music,Who needs a heart when a heart can be broken?,What's Love Got to Do with It,Angela Bassett Laurence Fishburne Vanessa Bell Calloway Rae'Ven Larrymore Kelly Virginia Capers,Brian Gibson
2543,Action Crime Drama,corruption new jersey handcuffs fbi bridge,No One Is Above The Law.,Cop Land,Sylvester Stallone Harvey Keitel Ray Liotta Robert De Niro Michael Rapaport,James Mangold
2544,Comedy,underdog ball kiss high school school party,They served you Breakfast. They gave you Pie. Now we’re gonna stuff your face.,Not Another Teen Movie,Chyler Leigh Chris Evans Jaime Pressly Eric Christian Olsen Mia Kirshner,Joel Gallen
